country_id,gender_id,age_group_id,suicides_per_100k,mhd_prevalence_percent
CYP,FMLE,1,0.86,
PHL,FMLE,4,0.86,
SYR,FMLE,4,0.86,
PHL,FMLE,5,0.87,
IDN,FMLE,3,0.88,
GAB,FMLE,1,0.91,
IDN,FMLE,2,0.91,
VCT,BTSX,2,0.91,
GHA,FMLE,2,0.92,
JOR,FMLE,4,0.92,
QAT,FMLE,4,0.92,
SYR,FMLE,3,0.92,
JAM,FMLE,1,0.93,
NGA,FMLE,2,0.93,
OMN,FMLE,3,0.95,
ARM,FMLE,1,0.97,
NIC,FMLE,5,0.97,
ITA,FMLE,1,0.98,
JOR,FMLE,2,0.98,
MRT,FMLE,1,0.98,
SYR,FMLE,2,0.98,
IDN,FMLE,1,1.02,
KWT,FMLE,6,1.03,
SRB,FMLE,1,1.03,
TUR,FMLE,4,1.04,
NIC,FMLE,6,1.05,
VEN,FMLE,6,1.05,
JOR,FMLE,5,1.06,
JOR,FMLE,3,1.07,
PHL,FMLE,3,1.07,
MDV,FMLE,5,1.08,
BHS,FMLE,5,1.09,
TUR,FMLE,5,1.09,
VEN,FMLE,5,1.09,
JAM,FMLE,5,1.1,
CYP,FMLE,5,1.11,
MUS,FMLE,5,1.11,
SLV,FMLE,5,1.12,
TUR,FMLE,3,1.12,
BHS,FMLE,6,1.14,
MLT,FMLE,6,1.14,
MMR,FMLE,3,1.15,
VEN,FMLE,1,1.15,
MMR,FMLE,1,1.17,
PAN,FMLE,2,1.17,
STP,FMLE,3,1.17,
TUR,FMLE,2,1.17,
KEN,FMLE,1,1.18,
KWT,FMLE,2,1.18,
KWT,FMLE,3,1.18,
ALB,FMLE,3,1.19,
MDV,FMLE,2,1.2,
BHR,FMLE,4,1.21,
BHR,FMLE,5,1.21,
MMR,FMLE,2,1.21,
PHL,FMLE,1,1.21,
UGA,FMLE,1,1.21,
ARM,FMLE,2,1.22,
MRT,FMLE,2,1.22,
SYR,FMLE,6,1.23,
THA,FMLE,1,1.23,
KWT,FMLE,7,1.24,
MDV,FMLE,1,1.24,
BHS,FMLE,4,1.25,
BHS,FMLE,7,1.26,
SSD,FMLE,1,1.26,
VEN,FMLE,7,1.26,
ARM,BTSX,1,1.29,
COL,FMLE,6,1.29,
COL,FMLE,7,1.29,
GHA,FMLE,3,1.29,
MMR,FMLE,4,1.29,
JAM,FMLE,3,1.3,
JAM,FMLE,4,1.3,
MYS,FMLE,1,1.3,
PER,FMLE,5,1.3,
AGO,FMLE,1,1.31,
ARM,FMLE,4,1.31,
COD,FMLE,1,1.32,
GRC,FMLE,8,1.32,
LCA,FMLE,1,1.32,
VCT,BTSX,1,1.32,
CYP,FMLE,2,1.33,
MWI,FMLE,1,1.33,
AZE,FMLE,1,1.34,
GRC,FMLE,7,1.34,
OMN,FMLE,5,1.35,
AZE,FMLE,2,1.36,
COL,FMLE,5,1.36,
PER,FMLE,4,1.36,
DZA,FMLE,5,1.37,
IDN,FMLE,4,1.37,
PER,FMLE,3,1.37,
BLZ,FMLE,3,1.38,
GMB,FMLE,1,1.38,
TZA,FMLE,1,1.38,
MEX,FMLE,6,1.4,
JAM,FMLE,2,1.41,
PHL,FMLE,2,1.41,
UGA,FMLE,2,1.41,
COG,FMLE,1,1.42,
SAU,FMLE,1,1.43,
ARM,BTSX,2,1.44,
SEN,FMLE,1,1.44,
VEN,FMLE,8,1.45,
CYP,FMLE,6,1.47,
GUY,FMLE,7,1.47,
ROU,FMLE,1,1.47,
BRB,MLE,4,1.48,
SYC,FMLE,5,1.48,
ARM,FMLE,5,1.49,
OMN,FMLE,2,1.49,
PAN,FMLE,6,1.49,
AZE,FMLE,3,1.5,
ETH,FMLE,1,1.52,
LBN,FMLE,4,1.52,
ISR,FMLE,1,1.53,
BHS,FMLE,1,1.54,
BTN,FMLE,1,1.54,
GEO,FMLE,2,1.54,
MWI,FMLE,2,1.54,
SSD,FMLE,2,1.54,
ALB,FMLE,2,1.55,
MEX,FMLE,5,1.56,
JOR,BTSX,1,1.57,
STP,BTSX,1,1.57,
ARM,MLE,1,1.58,
HND,BTSX,1,1.58,
MMR,FMLE,5,1.61,
SYC,FMLE,3,1.61,
COL,FMLE,4,1.62,
IDN,FMLE,5,1.63,
